ID,name,gender,year_of_birth,height,ethnicity
/m/0346l4,Natasha Henstridge,F,1974.0,1.78,
/m/01vw26l,Ice Cube,M,1969.0,1.727,African American
/m/034hyc,Jason Statham,M,1967.0,1.75,
/m/01y9xg,Clea DuVall,F,1977.0,1.65,
/m/0418ft,Pam Grier,F,1949.0,1.727,African American
/m/06lj1m,Joanna Cassidy,F,1945.0,1.753,
/m/03d663h,Peter Jason,M,1944.0,1.8,
/m/026qxz,Robert Carradine,M,1954.0,,
/m/03wc_yl,Rosemary Forsyth,F,1943.0,,
/m/07jbhb,Cliff DeYoung,M,1945.0,1.85,
/m/01lntp,Albert Hall,M,1937.0,,African American
/m/06prxs,Mathieu Carrière,M,1950.0,,
/m/09k3x_,Hanns Zischler,M,1947.0,,
/m/0785v8,John Hawkes,M,1959.0,1.78,
/m/02q288g,Brad William Henke,M,1966.0,1.93,
/m/0cc9plh,Tracy Wright,F,1959.0,1.65,
/m/0d15j6,Ellen Geer,F,1941.0,,
/m/0gz5hs,Seth Green,M,1974.0,1.63,Jewish people
/m/01_x6d,Matt Stone,M,1971.0,1.87,
/m/0173p_,Ruth Chatterton,F,1892.0,1.57,
/m/0h1_w,Fredric March,M,1897.0,1.78,
/m/0576kw,Meiko Kaji,F,1947.0,,
/m/0chg_3,Yoshio Harada,M,1940.0,,
/m/05zs55n,Kazuko Yoshiyuki,F,1935.0,1.57,
/m/02qyp1n,Erwin Geschonneck,M,1906.0,,
/m/01lr4p,ZaSu Pitts,F,1894.0,1.68,
/m/015gy7,Melvyn Douglas,M,1901.0,1.86,Jewish people
/m/028pzq,Asia Argento,F,1975.0,1.68,
/m/016fjj,Christopher Walken,M,1943.0,1.83,German American
/m/01f7dd,Willem Dafoe,M,1955.0,1.78,
/m/0338ws,Annabella Sciorra,F,1960.0,1.57,
/m/02l6dy,Gretchen Mol,F,1972.0,1.676,
/m/08392m,Peppino De Filippo,M,1903.0,,
/m/0blbxk,Taraji P. Henson,F,1970.0,1.65,African American
/m/01l1b90,Tyrese Gibson,M,1978.0,1.797,African American
/m/0fdb14,Anthony Johnson,M,1965.0,,African American
/m/08ynj7,Kym Whitley,F,1961.0,,African American
/m/01vw8mh,Snoop Dogg,M,1971.0,1.918,African American
/m/04znsy,Mo'Nique Imes-Jackson,F,1967.0,1.75,African American
/m/032zg9,Ving Rhames,M,1959.0,1.83,African American
/m/02fbpz,Mohanlal,M,1960.0,1.72,Indian people
/m/026xrvd,Jagadish,M,1958.0,,
/m/0fy2s1,Sukumari,F,1940.0,,Indian people
/m/0bwqq2,Mukesh,M,1960.0,,
/m/0f2c8g,Cochin Haneefa,M,1951.0,,Indian people
/m/047twb3,Manianpilla Raju,M,1955.0,,Indian people
/m/07l4md,M. G. Soman,M,1941.0,,
/m/02hkw6,Nedumudi Venu,M,1948.0,,Malayali
/m/04rfng,Ruby Lin,F,1976.0,1.68,
/m/0jlv5,Zhang Ziyi,F,1979.0,1.63,
/m/09wn3y,Fan Bing-Bing,F,1981.0,1.68,
/m/01ngvm,Eric Bogosian,M,1953.0,1.82,Armenians
/m/02w09gx,Shafi Inamdar,M,1949.0,,Indian people
/m/07hpqm,Smita Patil,F,1955.0,,
/m/061zc_,Rajesh Khanna,M,1942.0,1.75,Indian people
/m/08y7b9,Satish Shah,M,1951.0,,Indian people
/m/07tcjt,Tanuja Samarth,F,1943.0,1.524,Indian people
/m/0gbwnxv,Beena,F,,,Indian people
/m/02pp77c,Saikumar,M,1963.0,,Malayali
/m/04mz092,Vijayaraghavan,M,,,
/m/0436kgz,Antonio Banderas,M,1960.0,1.74,
/m/03vfjv,Victoria Abril,F,1959.0,1.57,
/m/02q64y2,Jorge Sanz,M,1969.0,1.69,
/m/06_1tj,Marius Weyers,M,1945.0,,
/m/03q8vb,Wallace Reid,M,1891.0,,
/m/06mwbj,Tully Marshall,M,1864.0,,
/m/0dxnfv,Hobart Bosworth,M,1867.0,,
/m/0grjc6,Theodore Roberts,M,1861.0,,
/m/03d8cc3,Horace B. Carpenter,M,1875.0,,
/m/0f3hp6,Raymond Hatton,M,1887.0,,
/m/02z5bft,Perry Lopez,M,1931.0,,
/m/01dkpb,Charles Bronson,M,1921.0,1.74,Lithuanian American
/m/04lrv3,Bill McKinney,M,1931.0,,
/m/06xz0d,Peggy Lipton,F,1946.0,1.72,
/m/03gtp3c,Juan Fernández,M,1956.0,,
/m/0415270,Sy Richardson,M,1941.0,,African American
/m/0d1bq3,Nicole Eggert,F,1972.0,1.6,
/m/0dj2nf2,Amar,M,,,
/m/0266d2k,Reena Roy,F,1957.0,1.63,
/m/043cl9,Jeetendra,M,1942.0,1.83,Indian people
/m/0652ty,Saul Rubinek,M,1948.0,1.7,Jewish people
/m/03wlz0,Marcia Strassman,F,1948.0,1.77,
/m/0bh6gr,Richard Libertini,M,1933.0,1.86,
/m/0byzg7,Gerrit Graham,M,1949.0,,
/m/02__7n,Christine Baranski,F,1952.0,1.77,
/m/03gkd7,Vic Tayback,M,1930.0,,
/m/034x61,Patrick Dempsey,M,1966.0,1.79,
/m/01phkr,Kate Jackson,F,1948.0,1.75,
/m/03dmy0,Robert Ginty,M,1948.0,1.85,
/m/07g7jw,Dylan Walsh,M,1963.0,1.79,
/m/05k4y7,Barbara Carrera,F,1945.0,1.75,
/m/02jt4y,Robert Picardo,M,1953.0,1.78,
/m/01wc7p,Kirstie Alley,F,1951.0,1.71,
/m/01tnbn,Carrie Fisher,F,1956.0,1.55,Jewish people
/m/03m4wg6,James Burke,M,1886.0,,
/m/04x9b0,James Gleason,M,1882.0,,
/m/01pl9g,Rita Hayworth,F,1918.0,1.68,
/m/0197p7,Edward Everett Horton,M,1886.0,,
/m/01m5lf,William Frawley,M,1887.0,,
/m/0412scr,Roland Culver,M,1900.0,,
/m/071ydw,Adele Jergens,F,1917.0,,
/m/06l0pj,George Macready,M,1899.0,,
/m/013846,John Garfield,M,1913.0,1.7,
/m/0h1m9,Bette Davis,F,1908.0,1.6,
/m/04x8_g,Brian Aherne,M,1902.0,1.88,
/m/0c92y,Paul Muni,M,1895.0,,Jewish people
/m/033db3,Corbin Bernsen,M,1954.0,1.8,
/m/032wdd,Tara Reid,F,1975.0,1.65,
/m/0dtd8b,Michael Kopsa,M,1956.0,1.8,
/m/042g8x,Jessica Steen,F,1965.0,1.626,
/m/02_36w,Don S. Davis,M,1942.0,1.73,
/m/03gtq7t,Jonathan Scarfe,M,1975.0,,
/m/0jt3m3,Stephen E. Miller,M,,,
/m/0fd16g,Michael Bowen,M,1957.0,1.79,
/m/038bht,William Petersen,M,1953.0,1.791,
/m/0hwqz,Jamie Lee Curtis,F,1958.0,1.75,
/m/0k9j_,Gregory Peck,M,1916.0,1.905,
/m/01rjrwm,Rudy Ray Moore,M,1927.0,,African American
/m/01qscs,Benicio del Toro,M,1967.0,1.85,Puerto Ricans
/m/048lv,Kevin Spacey,M,1959.0,1.79,
/m/05cl2w,Dan Hedaya,M,1940.0,1.75,Jewish people
/m/0807ml,Giancarlo Esposito,M,1958.0,1.715,
/m/018swb,Pete Postlethwaite,M,1946.0,1.75,
/m/063gtr,Suzy Amis,F,1962.0,1.72,
/m/02t_v1,Chazz Palminteri,M,1952.0,1.91,
/m/01j5sd,Gabriel Byrne,M,1950.0,1.784,Irish people
/m/018yhr,Stephen Baldwin,M,1966.0,1.78,European American
/m/02lf1j,Kevin Pollak,M,1957.0,1.65,
/m/0g9z_j9,Joe Silver,M,1922.0,,
/m/058w0c,Lynn Lowry,F,1947.0,,
/m/03yhc3,Barbara Steele,F,1937.0,1.68,
/m/026_y_d,Vlasta Vrana,M,,1.8,
/m/055jj1,Ellen Corby,F,1911.0,,
/m/05qzxw,Edgar Buchanan,M,1903.0,,
/m/0gr66w,Charles Meredith,M,1894.0,,
/m/05xl3r,Roy Roberts,M,1906.0,,
/m/02qn4z,"Alan Hale, Jr.",M,1921.0,,
/m/027kj6l,John Archer,M,1915.0,,
/m/03y8mf2,Harry Cording,M,1891.0,1.83,
/m/0j582,Kirk Douglas,M,1916.0,1.75,
/m/01qn8k,Mischa Barton,F,1986.0,1.75,English American
/m/05qtcv,Rajpal Yadav,M,1971.0,1.6,
/m/03l3ln,Kal Penn,M,1977.0,1.78,
/m/04gl1d0,Tannishtha Chatterjee,F,,,Indian people
/m/0hvb2,Martin Sheen,M,1940.0,1.7,Spanish Americans
/m/027lhzz,Vineet Kumar,M,1957.0,,Biharis
/m/02q3h_p,Manoj Joshi,M,1965.0,,
/m/04yg_0x,Upasana Singh,F,,,
/m/0gbwskz,Arun Bakshi,M,,,Indian people
/m/012g92,Isabelle Huppert,F,1953.0,1.6,
/m/03fpwp,Harry Carey,M,1878.0,,
/m/05vvl1,Samyuktha Varma,F,1982.0,,
/m/05j12n,Suresh Gopi,M,1959.0,,
/m/039whv,Estelle Parsons,F,1927.0,1.62,
/m/0309r1,William Daniels,M,1927.0,1.7,
/m/03zyvw,Nancy Marchand,F,1928.0,1.77,
/m/0lcf1,Leslie Howard,M,1893.0,,Jewish people
/m/022q4j,Cesar Romero,M,1907.0,1.88,Cuban American
/m/02_wnq,Kay Francis,F,1905.0,1.75,
/m/04x93v,William Gargan,M,1905.0,,
/m/04f6fn,J. Carrol Naish,M,1896.0,,
/m/0c5qr,Sharon Tate,F,1943.0,1.65,White people
/m/0c0qw,Vittorio Gassman,M,1922.0,1.87,
/m/07y_r,Vittorio de Sica,M,1901.0,,
/m/01k109,Terry-Thomas,M,1911.0,,
/m/05kh_,Orson Welles,M,1915.0,1.854,
/m/01w1kyf,Shirley MacLaine,F,1934.0,1.7,
/m/01ycbq,Christopher Plummer,M,1929.0,1.778,
/m/02ymv4,Brenda Fricker,F,1945.0,,Irish people
/m/03_nv3,Gregory Smith,M,1983.0,1.79,
/m/0l8v5,Neve Campbell,F,1973.0,1.7,Dutch Jewish
/m/02_tv5,Omar Epps,M,1973.0,1.778,African American
/m/03xk1_,Joss Ackland,M,1928.0,1.829,
/m/01xq7p,Sean Pertwee,M,1964.0,1.829,
/m/05pqxk,Andrew Divoff,M,1955.0,1.85,
/m/013bd1,David Suchet,M,1946.0,1.7,
/m/05vsxz,Chiwetel Ejiofor,M,1977.0,1.778,British Nigerian
/m/0c6mv6,Michael Byrne,M,1943.0,,
/m/07f3xb,Adewale Akinnuoye-Agbaje,M,1967.0,1.88,Yoruba people
/m/01sy5c,"Lon Chaney, Sr.",M,1883.0,,
/m/02qh53w,Tony Bill,M,1940.0,,
/m/029m83,Sydney Pollack,M,1934.0,1.82,Jewish people
/m/0ksyvw,Nicholas Pryor,M,1935.0,1.8796,
/m/01wrv9,Stephen Collins,M,1947.0,1.85,
/m/082_v4,Bo Svenson,M,1941.0,1.97,
/m/02zhkz,Lance Henriksen,M,1940.0,1.78,Scandinavian American
/m/027_zc,Huntz Hall,M,1920.0,,
/m/0260wtf,David Gorcey,M,1921.0,,
/m/0671gz,Leo Gorcey,M,1917.0,,
/m/04vcdj,Barry Corbin,M,1940.0,1.8,
/m/031zkw,Lou Diamond Phillips,M,1962.0,1.85,
/m/031x3g,Todd Bridges,M,1965.0,1.8,African American
/m/08m038,Amy Locane,F,1971.0,1.67,
/m/01zvxq,John Forsythe,M,1918.0,1.803,
/m/0bj9k,Al Pacino,M,1940.0,1.7,
/m/02wr6r,Jack Warden,M,1920.0,1.79,
/m/02lfns,Dominic Chianese,M,1931.0,1.8,
/m/030b93,Christine Lahti,F,1950.0,1.778,Finnish American
/m/02r_d4,Jeffrey Tambor,M,1944.0,1.85,
/m/0338g8,Craig T. Nelson,M,1944.0,1.92,
/m/05v_98,Sam Levene,M,1905.0,,Jewish people
/m/0b3t4v,Shin Min-a,F,1984.0,1.68,Koreans
/m/0hfy630,Kim Tae Woo,M,1971.0,1.83,
/m/02qmdqm,Mathieu Amalric,M,1965.0,,
/m/08sz0k,Michael Lonsdale,M,1931.0,,
/m/03qckt2,Édith Scob,F,1937.0,,
/m/0cc9gb,Jean-Pierre Kalfon,M,1938.0,,
/m/03d5tfj,Lou Castel,M,1943.0,,
/m/0dzlk,Olivia Newton-John,F,1948.0,1.68,Welsh people
/m/018yh9,Daniel Baldwin,M,1960.0,1.88,
/m/018yj6,William Baldwin,M,1963.0,1.87,
/m/01gvvn,Diahann Carroll,F,1935.0,,African American
/m/01r2q_,Kelly McGillis,F,1957.0,1.78,White American
/m/03f2lp,Jaclyn Smith,F,1945.0,1.7,
/m/046j_1,Morgan Brittany,F,1951.0,1.626,
/m/07brgk,Lisa Ray,F,1972.0,1.63,
/m/06s6xv,Mumtaz,F,1947.0,1.7,
/m/02wmbg,Rajnikanth,M,1950.0,1.75,
/m/02qhrg,Ramón Novarro,M,1899.0,1.68,
/m/02l53h,Renée Adorée,F,1898.0,1.55,
/m/03bdm4,Donald Crisp,M,1882.0,1.765,
/m/015c4g,Robert Duvall,M,1931.0,1.74,
/m/01bcq,Blythe Danner,F,1943.0,1.7,
/m/069d8x,Michael O'Keefe,M,1955.0,1.85,
/m/02vst7p,Stan Shaw,M,1952.0,,African American
/m/098vq6,Skip Homeier,M,1930.0,,
/m/0hwqg,Tony Curtis,M,1925.0,1.75,Hungarian American
/m/05x3m9,Frank Lovejoy,M,1912.0,,
/m/0f6rmh,Mary Murphy,F,1931.0,1.62,
/m/09cztj,John Doucette,M,1921.0,,
/m/02rddq9,Eduard Franz,M,1902.0,,
/m/04mdbq,Paz Vega,F,1976.0,1.67,
/m/0h7z56,Leonardo Sbaraglia,M,1970.0,,
/m/0c5vh,Mel Blanc,M,1908.0,,Jewish people
/m/08mdtm,Bhanupriya,F,1964.0,1.69,
/m/02vd_b,Soundarya,F,1972.0,,
/m/0dkg1g,Mohan Babu,M,1952.0,1.85,Indian people
/m/0dfjb8,Nassar,M,1958.0,,Indian people
/m/077215,Arvind Swamy,M,1970.0,,
/m/0bby5f,Prabhu Deva,M,1973.0,,Indian people
/m/0241wg,Kajol,F,1974.0,1.57,
/m/06zp02,S. P. Balasubrahmanyam,M,1946.0,,
/m/04ch23,Girish Karnad,M,1938.0,,
/m/09tqx3,Prakash Raj,M,1965.0,,
/m/0dr_2h2,Rallapalli,M,,,Indian people
/m/0jt307,V.K. Ramaswamy,M,1926.0,,Indian people
/m/02zrgt,Vic Morrow,M,1929.0,1.75,Jewish people
/m/0d9mt_,Nathalie Baye,F,1948.0,1.68,
/m/0jfx1,Johnny Depp,M,1963.0,1.78,German American
/m/01lly5,Tom Kenny,M,1962.0,,
/m/01x0sy,Bill Fagerbakke,M,1957.0,,
/m/032y6l,Carolyn Lawrence,F,1967.0,,
/m/035vrb,Rodger Bumpass,M,1951.0,1.56,
/m/03rvfw,Doug Lawrence,M,1969.0,,
/m/0p_r5,Brian Doyle-Murray,M,1945.0,,
/m/02m09m,Patrick Duffy,M,1949.0,1.87,
/m/02wd48,Alan Thicke,M,1947.0,1.854,
/m/045hz5,Sharmila Tagore,F,1946.0,1.57,Indian people
/m/01n8_g,Shashi Kapoor,M,1938.0,1.8,
/m/090x7d,Meenakshi Seshadri,F,1963.0,,Indian people
/m/01wttr1,Madhuri Dixit,F,1967.0,1.63,
/m/0d5trf,Vinod Mehra,M,1945.0,,Indian people
/m/0dm3107,Raja Bundela,M,,,
/m/0280xl6,Sarika,F,1962.0,1.61,Indian people
/m/0gcxl3v,Mahesh Raj,M,1974.0,,Indian people
/m/011_nf,Warner Baxter,M,1889.0,,
/m/079q2l,Marjorie Rambeau,F,1889.0,,
/m/0b07mf,Madge Evans,F,1909.0,1.62,
/m/04jxzf,H. B. Warner,M,1875.0,1.84,
/m/04bxpq,Gilbert Emery,M,1875.0,,
/m/084xvk,Saima,F,1971.0,1.7,
/m/08lpnh,Moammar Rana,M,1974.0,,
/m/02w31nx,Babar Ali,M,1970.0,,
/m/02s6b7,William Smith,M,1933.0,1.87,
/m/02vmmz,Morgan Fairchild,F,1950.0,1.63,
/m/04ynfp,Frank Finlay,M,1926.0,,
/m/04vq3h,Paul Guilfoyle,M,1949.0,1.727,
/m/02lq10,Michael York,M,1942.0,1.8,
/m/05l9xr,Srđan Todorović,M,1965.0,,
/m/07j880,Henry Simmons,M,1970.0,1.93,
/m/0345cb,Mary Stuart Masterson,F,1966.0,1.626,
/m/07h3_4,John Shea,M,1949.0,1.84,
/m/0403q0,Jim Norton,M,1938.0,,
/m/017khj,David Warner,M,1941.0,1.87,Jewish people
/m/02ps7rq,Susan George,F,1950.0,1.65,
/m/0bl2g,Dustin Hoffman,M,1937.0,1.66,Jewish people
/m/04n7gp,T. P. McKenna,M,1929.0,,
/m/070mz9,Peter Vaughan,M,1923.0,1.829,
/m/0ddfph,Himani Shivpuri,F,1960.0,,Garhwali people
/m/026n_xx,Parikshat Sahni,M,,,Indian people
/m/054yrb,Aman Yatan Verma,M,1971.0,,Indian people
/m/0gbzs4s,Anil Dhawan,M,,,
/m/067f0j,Rachel Shelley,F,1969.0,1.73,
/m/02mqc4,Stockard Channing,F,1944.0,1.6,
/m/026mzh,Jeff Conaway,M,1950.0,1.87,White American
/m/02tl9,Eve Arden,F,1908.0,1.71,
/m/01m9k6y,Frankie Avalon,M,1939.0,1.73,
/m/0696jd,Dinah Manoff,F,1958.0,,Jewish people
/m/01kgg9,Joan Blondell,F,1906.0,1.6,
/m/0347tm,Lorenzo Lamas,M,1958.0,1.88,
/m/02d6n_,Michael Biehn,M,1956.0,1.83,
/m/0gx_p,Michelle Pfeiffer,F,1958.0,1.71,Swedish American
/m/02y6kl,Maxwell Caulfield,M,1959.0,1.82,
/m/0f502,John Travolta,M,1954.0,1.83,
/m/04yj5z,John Leguizamo,M,1964.0,1.73,
/m/0f276,Hayden Christensen,M,1981.0,1.87,
/m/02cpb7,Thandie Newton,F,1972.0,1.6,
/m/0ckpxt,Larry Fessenden,M,1963.0,,White people
/m/0cbkc,Catherine Deneuve,F,1943.0,1.68,
/m/021t8p,Michel Piccoli,M,1925.0,,
/m/015gjr,Marcello Mastroianni,M,1924.0,1.76,
/m/04lf1f4,Henri Garcin,M,1929.0,,
/m/014jxq,Fanny Ardant,F,1949.0,1.74,
/m/0cbkw,Jean-Paul Belmondo,M,1933.0,1.79,
/m/0cvwgg,Romane Bohringer,F,1973.0,,
/m/07wn_5,Sandrine Bonnaire,F,1967.0,1.67,
/m/0dfl_1,Jean-Claude Brialy,M,1933.0,,
/m/06cgy,Robert De Niro,M,1943.0,1.77,
/m/01qrlx,Gina Lollobrigida,F,1927.0,1.65,
/m/03d0ns,Jeanne Moreau,F,1928.0,1.6,
/m/0dvmd,Leonardo DiCaprio,M,1974.0,1.83,
/m/04gs2vc,Giacomo Furia,M,1925.0,,
/m/05p2_3g,Dante Maggio,M,1909.0,,
/m/03nk14,Anita Ekberg,F,1931.0,1.69,
/m/0b20tv,Peter Brocco,M,1903.0,,
/m/04w27b,Louis Hayward,M,1909.0,1.753,
/m/04xn6g,Lee Bowman,M,1914.0,,
/m/02thfq,Jane Wyatt,F,1910.0,1.67,
/m/06603mj,Sarah Padden,F,1881.0,,
/m/06nrh1,Kathleen Freeman,F,1919.0,,
/m/0f9jgt,Will Wright,M,1891.0,,
/m/02r6fj6,Charles Vanel,M,1892.0,,
/m/07xz_2,Françoise Rosay,F,1891.0,,
/m/04gjcls,Pierre Larquey,M,1884.0,,
/m/05qm5s,Juliet Stevenson,F,1956.0,1.702,
/m/0jbp0,Patrick Stewart,M,1940.0,1.78,
/m/06rn5d,Kenneth Welsh,M,1942.0,1.753,
/m/044qx,James Stewart,M,1908.0,1.91,
/m/04qc1y,Joanne Dru,F,1922.0,1.7,
/m/05c1cm,Dan Duryea,M,1907.0,,
/m/02h0f3,Harry Morgan,M,1915.0,1.63,
/m/08h95m,Cecilia Roth,F,1956.0,1.7,
/m/089m1l,Carmen Maura,F,1945.0,1.61,
/m/0ftbkt,Chus Lampreave,F,1930.0,,
/m/0h953,Fred Astaire,M,1899.0,1.75,German American
/m/012dpb,Frank Morgan,M,1890.0,,
/m/09px0t,Mildred Natwick,F,1905.0,,
/m/0808sl,Howard Vernon,M,1914.0,,
/m/06qp97,Corey Sevier,M,1984.0,1.8,
/m/025j1t,Tom Sizemore,M,1961.0,1.8,Welsh people
/m/06c53w,Ajith Kumar,M,1971.0,1.8,Sindhis
/m/084g7n,Senthil,M,1951.0,,
/m/0d8cr0,Manivannan,M,1950.0,,
/m/05nqnp,Goundamani,M,1950.0,,
/m/0gbwmxp,Raasi,F,,,
/m/04c636,Mithun Chakraborty,M,1950.0,1.83,
/m/0cqyvd,Farooq Shaikh,M,1948.0,,
/m/03fw60,Prem Chopra,M,1935.0,,
