nameActor,DOB,gender,ethnicity,height,fbCharacterMap,fbCharacterID,fbActorID,careerLength,ageAtFirstMovie,fbID_movies,fbID_nominatedOscar,fbID_wonOscar
Aashish Chaudhary,,M,/m/0dryh9k,,/m/0h754l6,/m/0h8jngr,/m/0274f0x,12.0,,"['/m/0bbxtrs', '/m/04n2v9r', '/m/02x01k0', '/m/0b773vw', '/m/02qz08g', '/m/027yrgl', '/m/0h6yfp', '/m/04j05n9', '/m/05p24ld', '/m/0b6d459', '/m/0bbzxpz', '/m/07kg3vg', '/m/027y5ys', '/m/0277h85']",,
Aasif Mandvi,1966-03-05,M,/m/04gfy7,1.78,/m/0k3nkl,/m/0bv8bzy,/m/0g2mbn,17.0,29.0,"['/m/02wgk1', '/m/04y7nj', '/m/0ds58fy', '/m/0421v9q', '/m/03d4p7q', '/m/05qbbfb', '/m/03qd79l', '/m/080j6g3', '/m/06sfk6', '/m/03s5lz', '/m/02pnly3', '/m/0277htq', '/m/0cpdw6', '/m/061_bh', '/m/0cc7hmk', '/m/0cnx_5j', '/m/01_1hw']",,
Abbas,1975-05-21,M,,1.52,/m/040p3dx,/m/0h9gllc,/m/0gqxyl,20.0,22.0,"['/m/02vm3x1', '/m/03hm4ms', '/m/0cyhw6', '/m/043lx9h', '/m/0kvbrb', '/m/0jt0fjg', '/m/02pnm0k', '/m/0h6lyxd', '/m/0984ly', '/m/05h4ryw', '/m/0264nl4', '/m/09g6pkc', '/m/0cc9nrz', '/m/0hr4xnp', '/m/0hhr05d', '/m/027bgd_', '/m/07ngp4', '/m/09k5s49', '/m/0k28qmw', '/m/03cgnm1']",,
Abbie Cornish,1982-08-07,F,/m/0bbz66j,1.73,/m/0b1j7np,/m/0b1j7nm,/m/07jznv,12.0,18.0,"['/m/047n8xt', '/m/0gxtknx', '/m/07jzqm', '/m/07sc6nw', '/m/03_gz8', '/m/0by17xn', '/m/0b5kwp', '/m/0ch4wh_', '/m/03z633', '/m/0271qq6', '/m/028bfsc', '/m/05fcbk7']",,
Abe Vigoda,1921-02-24,M,/m/09kr66,1.842,/m/02tb7r8,/m/0ck6bq,/m/02l0p0,28.0,51.0,"['/m/071fr7', '/m/03rtz1', '/m/01hjwf', '/m/04666r0', '/m/0bnx59', '/m/07g1sm', '/m/03gn80', '/m/017yj_', '/m/02sfnv', '/m/06scnw', '/m/01t8m2', '/m/05hhhx', '/m/02qmn45', '/m/0dzgwx']",,
Abhay Deol,1976-03-15,M,/m/02sch9,1.85,/m/052htht,/m/0h716rd,/m/026ksyr,7.0,28.0,"['/m/04z_5x2', '/m/06zjk74', '/m/02qlj8r', '/m/0jkxynn', '/m/0gg8ndw', '/m/026fzc0', '/m/07l50q9', '/m/04f0rdd', '/m/027tpm8', '/m/07kjkl8', '/m/02z5x_d']",,
Abhimanyu Singh,,M,/m/0dryh9k,,/m/0gc2xqh,/m/0h6kmv8,/m/0ds6bt5,11.0,,"['/m/04y6hf1', '/m/0b6dvr', '/m/0h_c5n2', '/m/0fq2snw', '/m/09k6yw5', '/m/0cqk7c', '/m/02x8lzk', '/m/0glsfdl', '/m/0ds7g40', '/m/09k4d8s', '/m/0h6kn26', '/m/05h2w0q']",,
Abhishek Bachchan,1976-02-05,M,/m/0dryh9k,1.85,/m/0gw4gsn,/m/02s9mwg,/m/02wyc0,12.0,24.0,"['/m/0gfffqy', '/m/0f42nz', '/m/0288xkc', '/m/06hp_8', '/m/0c9cwb', '/m/06nvhs', '/m/08mddb', '/m/02wsrd9', '/m/03y8k5j', '/m/04n0x4t', '/m/04y8w7q', '/m/026qm7m', '/m/0d_n83', '/m/09xq68', '/m/0dryctz', '/m/0h3z0h', '/m/066bp5', '/m/02r5s2k', '/m/04szkd', '/m/04y5pk6', '/m/027ptbt', '/m/05mv58', '/m/0271k9p', '/m/08v7dt', '/m/04szhz', '/m/0glsfdl', '/m/03qh6pn', '/m/072mk4', '/m/0cb0z1', '/m/0fxb9_', '/m/09v81w1', '/m/06rcdl', '/m/08wqh3', '/m/05_74z', '/m/0br_rqk', '/m/0dj3_d', '/m/06wbkxb', '/m/0b5mtrv', '/m/046z6n', '/m/08lrkw', '/m/02pjb0h', '/m/06y67f', '/m/0d5kqt', '/m/03qg9h8', '/m/07k2xv', '/m/0f11hp', '/m/02wz99l']",,
Abigail Breslin,1996-04-14,F,,1.54,/m/084rm2d,/m/0g9m4p9,/m/07r_dg,11.0,6.0,"['/m/06w99h3', '/m/0h1x5f', '/m/05p1_m', '/m/026kcwj', '/m/0jjy0', '/m/02qnxd8', '/m/0fphf3v', '/m/05ms1x9', '/m/080hmgr', '/m/091rc5', '/m/05p1qyh', '/m/03g_sj5', '/m/03k9n0', '/m/036p6v', '/m/047gpsd', '/m/02qz4w7', '/m/02z3rqk', '/m/0d1dcw', '/m/0b1ydjs']","['/m/0h1x5f', '/m/091rc5', '/m/0d1dcw']",
Abraham Benrubi,1969-10-04,M,,2.01,/m/0cv_xq1,/m/0bys0y5,/m/0945y8,14.0,22.0,"['/m/09fgyt', '/m/0409zp', '/m/05smr2', '/m/0gw_b17', '/m/0f7_dk', '/m/09v3476', '/m/09c_pm', '/m/07c11y', '/m/04lyrw', '/m/0fdrxc']",,
Achala Sachdev,1920-05-03,F,,,/m/0hdwh_n,/m/0hdwh_q,/m/02x02kb,45.0,43.0,"['/m/05ms7zp', '/m/0bbzmrc', '/m/02qkcn1', '/m/03h8rg', '/m/02vztkn', '/m/02qpqzm', '/m/02tcgh', '/m/04cs5gb', '/m/0bkfv_', '/m/0cw1ry', '/m/01p3ty', '/m/0c995d', '/m/02s56l', '/m/05b1szn', '/m/02qkxby', '/m/0kvfdg', '/m/05b04nm', '/m/07kbfw']",,
Achyut Potdar,,M,,,/m/0gd2td2,/m/0h86yvn,/m/0gc4ylj,20.0,,"['/m/080c6tv', '/m/05c3m03', '/m/07pxpb', '/m/0btr8b', '/m/047q2k1', '/m/0fq0n34', '/m/03gqw79', '/m/05d4x5', '/m/02x06t4', '/m/0gqncx', '/m/0g56p5t', '/m/0gqfsr']",,
Adam Arkin,1956-08-19,M,,1.87,/m/0h_20_l,/m/0h_20_p,/m/03v0vd,35.0,18.0,"['/m/0fmxlc', '/m/057yjg', '/m/067tcz', '/m/03tb_8', '/m/05sxmbv', '/m/02r1c18', '/m/0kv3jj', '/m/04064pw', '/m/09cgnx', '/m/05zjqps', '/m/0b69fq9']",,
Adam Baldwin,1962-02-27,M,/m/033tf_,1.93,/m/02s9cr9,/m/05pygb,/m/038nv6,28.0,18.0,"['/m/02j9_2', '/m/06yr6d', '/m/02768l9', '/m/02xd2b', '/m/0d2hn1', '/m/0ds5s6h', '/m/0809vvk', '/m/02wzkj6', '/m/02vyx68', '/m/02pm8zp', '/m/05mwyr9', '/m/05rw58', '/m/0gltv', '/m/0dxr5g', '/m/02rd_56', '/m/07k67r', '/m/027q16_', '/m/027q16_', '/m/027q16_', '/m/0qm98', '/m/08mg_b', '/m/043frw', '/m/0462mpt', '/m/082dqx', '/m/0g8z37', '/m/0ds2n', '/m/0333t']",,
Adam Beach,1972-11-11,M,/m/04gfy7,1.82,/m/04df52m,/m/0b6xq0g,/m/03qqwz,17.0,21.0,"['/m/03mb3kl', '/m/085480', '/m/02rlj20', '/m/027n2fb', '/m/02pz01g', '/m/0ch5bqv', '/m/08fn5b', '/m/05kdryb', '/m/0cc5mcj', '/m/0540f_', '/m/03ttr9', '/m/03typy']",,
Adam Brody,1979-12-15,M,/m/041rx,1.8,/m/0cpbrts,/m/0dl92x2,/m/0214df,11.0,21.0,"['/m/0bwhdbl', '/m/03h0dlt', '/m/0gx1bnj', '/m/0bc22_j', '/m/06__m6', '/m/01k0vq', '/m/0gy0n', '/m/09vb8sg', '/m/0gmfxry', '/m/03nq_dr', '/m/05sns6', '/m/0fvvc5', '/m/0k6pl02', '/m/0fjckn', '/m/0661rdr', '/m/088_0b', '/m/0c07c5']",,
Adam Deacon,1983-03-04,M,,1.65,/m/0gvylfq,/m/0h97kl2,/m/0c3jby,6.0,22.0,"['/m/0cmbrdw', '/m/0g57pql', '/m/0h2jw2t', '/m/0glpxs0', '/m/0b6mb8v', '/m/0g_k8sr', '/m/09gj5bl', '/m/0bt60g', '/m/02rpdtq', '/m/03clxwx', '/m/09v2hxc']",,
Adam Godley,1964-07-22,M,,1.854,/m/04f8_rg,/m/04f8_rk,/m/080lx1,8.0,37.0,"['/m/027fgcb', '/m/03c6gjg', '/m/034qmv', '/m/06wc7k7', '/m/02r1lgb', '/m/02r1lgb', '/m/07s84rq', '/m/08pz9v', '/m/027_h8k', '/m/02k21t', '/m/04pk1f']",,
Adam Goldberg,1970-10-25,M,/m/041rx,1.8,/m/0cs4gcc,/m/0g4fbfb,/m/03jqw5,19.0,21.0,"['/m/02_1sj', '/m/02ww0q4', '/m/03dbg_', '/m/08l89m', '/m/04x4st', '/m/0ch4wk0', '/m/07024', '/m/07k5xwq', '/m/02z4kdz', '/m/03cp0x_', '/m/090w3m', '/m/0c1ry28', '/m/0dsgfd', '/m/02rfs1', '/m/02r430', '/m/09_l5f', '/m/0bq00y', '/m/033gkt', '/m/0d7vdj', '/m/0h3b2fw', '/m/07vn_9', '/m/02lqsk', '/m/01kg44', '/m/02j69w', '/m/09m6kg', '/m/0cnm1t2']",,
Adam LeFevre,1950-08-11,M,,,/m/0cs8z_1,/m/0ghbkgf,/m/07hd6p,32.0,30.0,"['/m/01vg4k', '/m/02q2wl3', '/m/05kx3x', '/m/026hh0m', '/m/04grkmd', '/m/047b0rq', '/m/02pyzpt', '/m/07mpbj', '/m/0280m2w', '/m/02_06s', '/m/03shpq', '/m/05sqdmt', '/m/0k3_2', '/m/0hgky8t', '/m/05zkcsk']",,
Adam Sandler,1966-09-09,M,/m/041rx,1.78,/m/04q65m4,/m/0gxmwlb,/m/0pz91,20.0,25.0,"['/m/01h3y_', '/m/02bhsc', '/m/036z1n', '/m/05yxmk', '/m/02d003', '/m/074w86', '/m/02dxrm', '/m/0f2sx4', '/m/02hwd1n', '/m/02tgz4', '/m/07hq75', '/m/02m7tn', '/m/023vcd', '/m/0d0stl', '/m/0gwgn1k', '/m/07kb7vh', '/m/03z20c', '/m/087pfc', '/m/0640m69', '/m/04p7q_', '/m/02q3pj', '/m/0bshwmp', '/m/02hxhz', '/m/02f6g5', '/m/03qfpk', '/m/03qfpk', '/m/02ylg6', '/m/02qdrjx', '/m/070rc_', '/m/0ch3qr1', '/m/0ch3qr1', '/m/0ch3qr1', '/m/047svrl', '/m/0gj96ln', '/m/01x_hw', '/m/02ph9tm', '/m/095z4q', '/m/047419']",,
Adam Scott,1973-04-03,M,,1.77,/m/0665tb6,/m/0c1kqvs,/m/06c_41,16.0,23.0,"['/m/04y9mm8', '/m/063drh', '/m/0bvn25', '/m/0gmff58', '/m/0cmbmct', '/m/08062p3', '/m/0gywgh', '/m/04yg_nh', '/m/04yg_nh', '/m/0613mj', '/m/0h32yy8', '/m/0gtxq9', '/m/02pjfpq', '/m/02q5d_y', '/m/0gx_t8p', '/m/02p8k3_', '/m/06r2h', '/m/026mfbr', '/m/04q240l', '/m/085n6q', '/m/099_dw', '/m/04xp1l']",,
Adam West,1928-09-19,M,,1.88,/m/02vd147,/m/0h29ch4,/m/01pm0_,52.0,28.0,"['/m/04l3xj', '/m/050g4_', '/m/01hpp', '/m/0bx9qwk', '/m/05s_k2k', '/m/05s_k2k', '/m/02x18z', '/m/04g73n', '/m/09ypk1', '/m/0cm8nlw', '/m/0crw06', '/m/06fcqj', '/m/07k4qkv', '/m/03c7h8h', '/m/026mcr5', '/m/03kck3', '/m/0464zk9', '/m/0gfzfj', '/m/03c1qld', '/m/06dtp1']",,
Adam Wylie,1984-05-23,M,,1.6764,/m/0jw1c1,/m/0n3mxj1,/m/035xfk,16.0,8.0,"['/m/0bf1hy', '/m/09w8pz', '/m/09_mp4', '/m/0b8l01', '/m/0gtp0r', '/m/05n_4c0', '/m/09mnhy', '/m/073t6j', '/m/027q16_', '/m/0fm7l2', '/m/0b_prc']",,
Adelqui Migliar,1891-08-05,M,,,/m/0mzc05n,/m/0mzc05r,/m/03m5x1g,8.0,,"['/m/05zhm22', '/m/05zk_6c', '/m/05zntmh', '/m/05znvnt', '/m/05ztgtn', '/m/05zlp92', '/m/05zlp92', '/m/05zjwhh', '/m/05zrzxj', '/m/03m5wm0', '/m/05zt3fm', '/m/05zx90d', '/m/05zznkj', '/m/05zl05l', '/m/05zxr6b', '/m/05zwl4_', '/m/05zrx_m', '/m/05zrn4m', '/m/05z_v3p', '/m/05zq2cc', '/m/05zj_4l', '/m/05zrb1j']",,
Aden Young,1972,M,,,/m/0gz399p,/m/0gz399s,/m/047nz1w,22.0,19.0,"['/m/04j373n', '/m/05dl1s', '/m/0cn_vdm', '/m/04j2ncz', '/m/0b74f5s', '/m/0hhgg_r', '/m/0b__g0s', '/m/0bs5k8r', '/m/0251br', '/m/0bvbdks', '/m/0dr8s_']",,
Adewale Akinnuoye-Agbaje,1967-08-22,M,/m/0301y_,1.88,/m/02vb4w8,/m/0hj8fpx,/m/07f3xb,18.0,27.0,"['/m/026nh40', '/m/0gh8bt9', '/m/03twd6', '/m/03t97y', '/m/03tn80', '/m/02mvb2', '/m/0bm95k0', '/m/0dzkvn', '/m/03qcfvw', '/m/07zkkck', '/m/0b__g0s', '/m/07s114']",,
Adithya,1974-04-06,M,,1.93,/m/0j9vydw,/m/0h9lgph,/m/0264vwb,9.0,29.0,"['/m/0gvvv55', '/m/0h1gpgn', '/m/0fdn0d', '/m/09xn2r', '/m/09g6k8r', '/m/0bmhy50', '/m/09rx564', '/m/0h7r1h6', '/m/0ds7g40', '/m/043r6bt', '/m/04h7w0', '/m/0c03j2s', '/m/05b6r_p', '/m/0h66vwp', '/m/051z1_l', '/m/026_rns', '/m/0h9l6gz']",,
Aditya Pancholi,1965-09-12,M,/m/0hbz9xw,1.91,/m/0gvxw6m,/m/0hbz_13,/m/0g0tyq,23.0,23.0,"['/m/0g9vnm9', '/m/0fq1h1_', '/m/0h7p5w3', '/m/06zlx5h', '/m/05xfj0', '/m/0dgr_5t', '/m/0j9qjvx', '/m/0c55zk', '/m/0jwxd9l', '/m/0ds7_cg', '/m/05lyw5', '/m/0hzm98g', '/m/027wg84', '/m/0gfhkqk', '/m/0jt39xx', '/m/02rq1sm', '/m/03m7gh5', '/m/03qd2w8', '/m/0j9kbd2', '/m/05d4yp', '/m/0br_rqk', '/m/03c9_h3', '/m/0cmc5g0', '/m/063_qry', '/m/0h97tnv', '/m/0dsf2q4', '/m/081_nr', '/m/0gfgvpy', '/m/0g9xvwg']",,
Aditya Srivastava,1963,M,/m/0dryh9k,,/m/0jx9n9,/m/0h81qfc,/m/047t4vq,15.0,31.0,"['/m/05xfj0', '/m/05jc1q', '/m/0cqk7c', '/m/0cfvg0', '/m/0dg_ns', '/m/026zw_9', '/m/08b1_t', '/m/027ghsg', '/m/05h2w0q', '/m/02jsh9']",,
Adolfo Celi,1922-07-27,M,,,/m/0jyzx_,/m/0jxxdqx,/m/07qbkb,30.0,26.0,"['/m/0cwz_v', '/m/04jfj3v', '/m/04jc7t8', '/m/04jndl1', '/m/04jbrfr', '/m/04jmh5k', '/m/04jczlc', '/m/04jdn5r', '/m/07nv8b', '/m/077wkv', '/m/02ydqp', '/m/04jnyvg', '/m/06t86q', '/m/0fsw_7', '/m/04jnkzm', '/m/04jh_b_', '/m/08fs4t', '/m/04jl51m', '/m/04jl51m', '/m/04jj48', '/m/027fwvb', '/m/02qqg4t', '/m/09j8v1', '/m/04jd2d1', '/m/01lcst', '/m/03vgzt', '/m/02qqdnt', '/m/04jk0h4', '/m/04lgpp1']",,
Adolphe Menjou,1890-02-18,M,,1.77,/m/04dh_zt,/m/0n5_l2c,/m/012c6j,35.0,,"['/m/0465_rq', '/m/07kd2_x', '/m/043pzpr', '/m/08nxpl0', '/m/09d37z', '/m/07qkbx', '/m/02vln70', '/m/06w6fnp', '/m/018448', '/m/09_kyd', '/m/0jys3', '/m/0gntm', '/m/0536z8', '/m/026l5ym', '/m/02nr5x', '/m/06mklr', '/m/02rjnnj', '/m/09sc0xg', '/m/04jnn_x', '/m/0280d73', '/m/07zyd1', '/m/0g4jsh', '/m/027dgrc', '/m/04mxb1t', '/m/0h3xqg1', '/m/080cr08', '/m/076y5jy', '/m/08qzwt', '/m/0b0wwy', '/m/0jz3_', '/m/0brzf44', '/m/0bmhj3s', '/m/02x1tch', '/m/058k5p4', '/m/02rzxtw', '/m/05bztrj', '/m/0b6lp4r', '/m/03cd4q6', '/m/026vxj8', '/m/0411sbw', '/m/0bbbl5q']",['/m/0jz3_'],
Adrian Grenier,1976-07-10,M,/m/02ctzb,1.83,/m/0cg6878,/m/0h12f_1,/m/06fc0b,13.0,21.0,"['/m/0d_q16', '/m/09gg0t', '/m/04n6500', '/m/0h540w1', '/m/027p7w', '/m/0807_bs', '/m/0cbv4g', '/m/03m8y5', '/m/040n6j', '/m/02drxn', '/m/02yycl', '/m/011xg5']",,
Adrian Lester,1968-08-14,M,,1.854,/m/02vb6b7,/m/07yjqv4,/m/06mg1r,14.0,27.0,"['/m/0h37zs', '/m/02852xd', '/m/01rcz0', '/m/09vtyqn', '/m/027nr4g', '/m/08_s9t', '/m/08jpy6', '/m/02q7fl9', '/m/0crvh4l', '/m/08sp55', '/m/024l2y']",,
Adrian Rawlins,1958-03-27,M,/m/02w7gg,,/m/0n54897,/m/0n5489b,/m/071nq3,31.0,21.0,"['/m/05mtx_z', '/m/031786', '/m/031hcx', '/m/0gvsynb', '/m/03177r', '/m/02rmlx1', '/m/0g9wv5', '/m/0cmf3gp', '/m/03bxwl', '/m/03176f']",,
Adrien Brody,1973-04-14,M,/m/08hpk0,1.85,/m/04j2ymq,/m/040_z9v,/m/01cj6y,22.0,15.0,"['/m/04q8bmc', '/m/02q8ms8', '/m/07jn86', '/m/064lsn', '/m/02q87z6', '/m/03cnpfm', '/m/059rc', '/m/0bs5vty', '/m/026z6v4', '/m/011ysn', '/m/0670l0', '/m/04wdy5', '/m/04vfh1', '/m/03w9ln', '/m/02q5zfj', '/m/05ch98', '/m/09vq9b', '/m/08fm68', '/m/0k3k1k_', '/m/09sjbw3', '/m/03sxd2', '/m/03wj4r8', '/m/02qr2tx', '/m/03wy8t', '/m/064k1wb', '/m/0bgb8v', '/m/08s6mr', '/m/02r0cgz', '/m/0g55x8t', '/m/0bvh0q', '/m/02dr9j', '/m/03c6w7q', '/m/0dlnmry', '/m/03h_yy', '/m/04c4fd', '/m/084s4k']","['/m/064lsn', '/m/03c6w7q']","['/m/064lsn', '/m/03c6w7q']"
Adrienne Barbeau,1945-06-11,F,/m/022fdt,1.594,/m/062tm3h,/m/0h2jtrp,/m/01z7nj,36.0,31.0,"['/m/0414j6', '/m/09g9kh9', '/m/051_sx', '/m/07b1gq', '/m/02r1_nk', '/m/02ny6g', '/m/0bm15g', '/m/0kv750', '/m/0h03fhx', '/m/03wct5c', '/m/06kxtl', '/m/02p5d', '/m/0dgrklv', '/m/0ff0ht', '/m/095l_b', '/m/0h644jr', '/m/0407kcr', '/m/0g0mp4', '/m/02pk8h', '/m/07k_8']",,
Afemo Omilami,1950-12-13,M,,,/m/0gcnh14,/m/0lc64gj,/m/0gg7plr,15.0,44.0,"['/m/02rb28l', '/m/02qknt9', '/m/03xf_m', '/m/094nfs', '/m/063_cl5', '/m/07gv6d', '/m/0bbcqp', '/m/0b21hk', '/m/076x4k5', '/m/07q2jv']",,
Aftab Shivdasani,1978-06-25,M,/m/0dryh9k,1.83,/m/04d7q3r,/m/0h349zf,/m/02y_491,25.0,8.0,"['/m/0924qt', '/m/027yfk2', '/m/0d_ndm', '/m/06w84zy', '/m/054qx5t', '/m/02qbhjm', '/m/0287gyg', '/m/0d3srd', '/m/0c55zk', '/m/04mx26p', '/m/0c9fb_', '/m/0gxbd_l', '/m/080mt0', '/m/0drdqw', '/m/0dryctz', '/m/0bkg7h', '/m/0gjc5m9', '/m/0874xs', '/m/04cs5gb', '/m/02pzk49', '/m/04czjj_', '/m/027yrgl', '/m/027ghsg', '/m/07dfjp', '/m/027zv8w', '/m/0d7v78']",,
Agnes Bruckner,1985-08-16,F,,1.72,/m/02vb3r5,/m/02nwb_q,/m/07_8tw,11.0,16.0,"['/m/028b593', '/m/0bp1j7', '/m/0kv2w7', '/m/02x18l', '/m/0d8mr_', '/m/05vnln', '/m/09ryphg', '/m/08vf4y', '/m/0kbz8hx', '/m/0g2sv8', '/m/08q1n8', '/m/047pccd']",,
Agnes Moorehead,1900-12-06,F,,1.68,/m/05t61n1,/m/04vwr1k,/m/01csrl,32.0,40.0,"['/m/03bwqm', '/m/019l4g', '/m/01lsl', '/m/0jvt9', '/m/0b2gpb', '/m/0h244w', '/m/06gn95', '/m/04h6cm', '/m/05m1ny', '/m/0cjwhb', '/m/0gnjkh', '/m/0d18vv', '/m/047v14b', '/m/03d1wy9', '/m/09v6vvh', '/m/0b086x', '/m/09_gvh', '/m/0bkvmt', '/m/04143l0', '/m/0hv6h', '/m/08vsvw', '/m/0p5kp']",['/m/03d1wy9'],
Ahn Sung-ki,1952-01-01,M,,,/m/09j0v51,/m/0h8b60c,/m/02821wr,52.0,7.0,"['/m/03hkkfp', '/m/03cn7p5', '/m/03m6fy5', '/m/0h1pgky', '/m/03hnk4p', '/m/0fvx49', '/m/05zz4l', '/m/04z_2n8', '/m/05zj62h', '/m/07yd72', '/m/0gmdqw8', '/m/026rg27', '/m/0kv6s2', '/m/0gkt2g2', '/m/03hm56b', '/m/0gx10m9', '/m/03hjs_c', '/m/0h55l48', '/m/0b4pj9', '/m/04xylx', '/m/09gygc', '/m/09gygc', '/m/08j_8x']",,
Aida Turturro,1962-09-25,F,,1.65,/m/0cg22k7,/m/0cgzn8b,/m/02lg9w,19.0,28.0,"['/m/03sb0b', '/m/03gwfzp', '/m/09v9jb_', '/m/06_x4w', '/m/0bhh9g', '/m/0c0040b', '/m/05zq5_', '/m/04k9yp', '/m/044sv0', '/m/02plyzz', '/m/03m8y5', '/m/07n9lm', '/m/035xwd', '/m/04jnxl']",,
Aidan Devine,,M,/m/02cm28,,/m/0cg9mmf,/m/0g99kcm,/m/0dscht5,8.0,,"['/m/082880', '/m/01j8wk', '/m/04jccrf', '/m/0c05hgm', '/m/0bz3xr', '/m/05rfst', '/m/0kvgp3', '/m/0drx240', '/m/0c_tp3', '/m/06w1hlw']",,
