nameActor,DOB,gender,ethnicity,height,fbCharacterMap,fbCharacterID,fbActorID,careerLength,ageAtFirstMovie,fbID_movies,fbID_nominatedOscar,fbID_wonOscar
50 Cent,1975-07-06,M,/m/0x67,1.829,/m/09zmmhp,/m/0h5vcx4,/m/01vvyc_,8.0,27.0,"['/m/05zntwr', '/m/0bwg8pq', '/m/07k4g72', '/m/0g40l0p', '/m/0chvk5', '/m/02r6fhw', '/m/05mz_dh', '/m/0g7sfc', '/m/0gty278', '/m/0g9w110', '/m/07s114', '/m/09gfnmd', '/m/0f9x7r', '/m/0bxmjj']",,
A.K Hangal,1917-02-01,M,/m/023mqw,,/m/05nq6_7,/m/0h70rpf,/m/04hqbbz,33.0,54.0,"['/m/0g7889', '/m/02qk_1k', '/m/08gwlp', '/m/0gw_ntm', '/m/05gdbn', '/m/047fk5c', '/m/0hr3xcg', '/m/0cp1j4v', '/m/02qk_r6', '/m/09v45h1', '/m/05b0g61', '/m/0gxzsd4', '/m/02r1ql2', '/m/0cn_80p', '/m/0b5mtrv', '/m/02_cxl', '/m/043nfhr', '/m/0h1hm5x', '/m/02rgkrb', '/m/04swtn', '/m/0h94b24']",,
Aahuthi Prasad,,M,,,/m/0gclskn,/m/0h89zcq,/m/0gbymjy,9.0,,"['/m/0fds50', '/m/0h13q8j', '/m/0dygzb', '/m/0h71b2c', '/m/0h71b1x', '/m/0f3lyp', '/m/03nnyn1', '/m/0fq2snw', '/m/026tfsx', '/m/0gx1rjh', '/m/0gg82c1', '/m/02r6_fq', '/m/03clrd6', '/m/0h7w0v4', '/m/0gflfj', '/m/02r15l_', '/m/0kvdv4', '/m/0h6kn26']",,
Aamir Khan,1965-03-14,M,/m/0dllcfn,1.68,/m/04hv56d,/m/0gxp8g7,/m/015npr,27.0,20.0,"['/m/027h46q', '/m/0gx3rq1', '/m/0kv5bw', '/m/0ffvrt', '/m/027lqr4', '/m/08pv67', '/m/0h673gx', '/m/06x6y3', '/m/0j3dm6q', '/m/08cv0c', '/m/09gkbty', '/m/09g6v5y', '/m/047q2k1', '/m/064qr6w', '/m/03h55j', '/m/02vqtcb', '/m/0ffwcz', '/m/0dh3j2', '/m/05hqb8', '/m/026tjg5', '/m/05cd7w', '/m/063_qry', '/m/04z13w', '/m/021pqy', '/m/09yxcz', '/m/063_6ps', '/m/05v5vr', '/m/04f4lkp', '/m/02pzxpz']",,
Aaron Eckhart,1968-03-12,M,,1.83,/m/02tb612,/m/0cby_67,/m/03t4cz,16.0,28.0,"['/m/0gsvg9', '/m/04ynx7', '/m/02qnxd8', '/m/03nrspy', '/m/02p14v', '/m/03rvz7', '/m/02x30r4', '/m/02wwmhc', '/m/06__m6', '/m/04lhc4', '/m/02cky7', '/m/036qtd', '/m/0btpm6', '/m/027z_ng', '/m/01dvbt', '/m/0d67yl', '/m/07sc1vd', '/m/04lfcmr', '/m/07z6xs', '/m/03wf6_t', '/m/04w6zk', '/m/0hhgg_r', '/m/0dqcs3', '/m/06zt03v', '/m/01gglm', '/m/07rshd']",,
Aaron Johnson,1990-06-13,M,,1.8,/m/0h41ybg,/m/0hj6k0l,/m/02rb9_g,9.0,12.0,"['/m/0g5879y', '/m/05b4_bs', '/m/01bl7g', '/m/07y_9wb', '/m/0bj79l4', '/m/05mz4l6', '/m/03c6xyy', '/m/03cwksh', '/m/07nt8p', '/m/0gmd3k7', '/m/05f4_n0', '/m/05f4_n0']",,
Aaron Kwok,1965-10-26,M,,1.72,/m/04d57l6,/m/0kw6dnj,/m/049j7d,22.0,25.0,"['/m/031czs', '/m/0h5nmzl', '/m/0bwgsrs', '/m/047bkdj', '/m/0661bwj', '/m/0fq2z6d', '/m/027zf44', '/m/06p3sp', '/m/0ch2962', '/m/0gmbkk3', '/m/04f1b_d', '/m/02r31cz', '/m/0gkzqt0']",,
Aarthi,,F,,,/m/0h72697,/m/0h7269v,/m/04yh931,7.0,,"['/m/0640q1b', '/m/080pw4v', '/m/043lx9h', '/m/02x3qwd', '/m/02r7ljx', '/m/03by3hq', '/m/09k6vrb', '/m/0glp976', '/m/04yg7yp', '/m/04jf51r', '/m/0b6hpqc', '/m/09gh13w', '/m/0g577rr']",,
Aarti Chhabria,1982-11-21,F,/m/0dryh9k,1.65,/m/03jtfdn,/m/0h77lrn,/m/0g2bkf,7.0,18.0,"['/m/0924qt', '/m/026jkzr', '/m/06ncf7', '/m/0f8hjf', '/m/026tzpx', '/m/09dly_', '/m/0dllh9t', '/m/04n2v9r', '/m/03c9zsd', '/m/0b6w39', '/m/0b6w39', '/m/026s9vw', '/m/0dj3_d', '/m/03gz5ch', '/m/03qd2d4']",,
Aashif Sheikh,1960,M,/m/0dryh9k,,/m/0h8jpy8,/m/0h8jpyb,/m/02r30xh,20.0,28.0,"['/m/02x6x1t', '/m/05msm_d', '/m/0brzx6v', '/m/0h7w2ph', '/m/08z0bp', '/m/0g58qqg', '/m/0h952bs', '/m/04cynfs', '/m/0h6kmlx', '/m/02q8zqf', '/m/04sw1f', '/m/05hz_g', '/m/027y2dn', '/m/0ds4_ll', '/m/061xmy', '/m/02r30td']",,
